# Patterns database

# Pattern Syntax:
# pattern name, type, source_lamda, pcount, ncount, image_path

# Pattern types: CellNot, CellBuffer, CellMux, CellLogic, CellAdder, CellBusSupp, CellFlipFlop, CellLatch, CellOther

# Inverters and Buffers

pattern NOT, CellNot, 5.0, 1, 1, "patterns_db/NOT.jpg"
pattern NOT1, CellNot, 5.0, 1, 1, "patterns_db/NOT1.jpg"
pattern NOT2, CellNot, 5.0, 2, 2, "patterns_db/NOT2.jpg"
pattern NOT3, CellNot, 5.0, 3, 3, "patterns_db/NOT3.jpg"
pattern NOT4, CellNot, 5.0, 4, 4, "patterns_db/NOT4.jpg"
pattern NOT8, CellNot, 5.0, 8, 8, "patterns_db/NOT8.jpg"
pattern NOT12, CellNot, 5.0, 12, 12, "patterns_db/NOT12.jpg"

pattern BUF2X, CellBuffer, 5.0, 3, 3, "patterns_db/BUF2X.jpg"
pattern BUF3X, CellBuffer, 5.0, 5, 5, "patterns_db/BUF3X.jpg"
pattern BUF3X2, CellBuffer, 5.0, 5, 5, "patterns_db/BUF3X2.jpg"
pattern BUF4X, CellBuffer, 5.0, 6, 6, "patterns_db/BUF4X.jpg"
pattern BUF5X, CellBuffer, 5.0, 8, 8, "patterns_db/BUF5X.jpg"
pattern BUF6X, CellBuffer, 5.0, 10, 10, "patterns_db/BUF6X.jpg"

# Binary Logic

pattern AND1, CellLogic, 5.0, 3, 3, "patterns_db/AND1.jpg"
pattern AND, CellLogic, 5.0, 3, 3, "patterns_db/AND.jpg"
pattern AND2X, CellLogic, 5.0, 4, 4, "patterns_db/AND2X.jpg"
pattern AND3X, CellLogic, 5.0, 5, 5, "patterns_db/AND3X.jpg"

pattern NAND, CellLogic, 5.0, 2, 2, "patterns_db/NAND.jpg"
pattern NAND2X, CellLogic, 5.0, 2, 2, "patterns_db/NAND2X.jpg"
pattern NAND3X, CellLogic, 5.0, 4, 4, "patterns_db/NAND3X.jpg"
pattern NAND4X, CellLogic, 5.0, 6, 6, "patterns_db/NAND4X.jpg"

pattern OR, CellLogic, 5.0, 3, 3, "patterns_db/OR.jpg"
pattern OR2X, CellLogic, 5.0, 3, 3, "patterns_db/OR2X.jpg"
pattern OR3X, CellLogic, 5.0, 4, 4, "patterns_db/OR3X.jpg"
